Model Prediction	Tags	Tokens
B	B	A
O	I	-
O	I	T
O	O	allele
O	O	.
O	O	In
O	O	contrast
O	O	,
O	O	no
O	O	mutations
O	O	were
O	O	detected
O	O	in
O	O	the
O	O	p53
O	O	gene
O	O	,
O	O	suggesting
O	O	that
O	O	this
B	B	tumour
O	O	suppressor
O	O	is
O	O	not
O	O	frequently
O	O	altered
O	O	in
O	O	this
B	B	leukaemia
O	O	.
O	O	Occasional
O	O	missense
O	O	mutations
O	O	in
O	O	ATM
O	O	were
O	O	also
O	O	found
O	O	in
B	B	tumour
O	O	DNA
O	O	from
O	O	patients
O	O	with
B	B	B
I	I	-
O	I	cell
I	I	non
I	I	-
I	I	Hodgkins
I	I	lymphomas
O	O	(
B	B	B
I	I	-
B	I	NHL
O	O	)
O	O	and
O	O	a
B	B	B
O	I	-
O	I	NHL
O	O	cell
O	O	line
O	O	.
O	O	The
O	O	evidence
O	O	of
O	O	a
O	O	significant
O	O	proportion
O	O	of
O	O	loss
O	O	-
O	O	of
O	O	-
O	O	function
O	O	mutations
O	O	and
O	O	a
O	O	complete
O	O	absence
O	O	of
O	O	the
O	O	normal
O	O	copy
O	O	of
O	O	ATM
O	O	in
O	O	the
O	O	majority
O	O	of
O	O	mutated
B	B	tumours
O	O	establishes
O	O	somatic
O	O	inactivation
O	O	of
O	O	this
O	O	gene
O	O	in
O	O	the
O	O	pathogenesis
O	O	of
O	B	sporadic
B	I	T
I	I	-
I	I	PLL
O	O	and
O	O	suggests
O	O	that
O	O	ATM
O	O	acts
O	O	as
O	O	a
B	B	tumour
O	O	suppressor
O	O	.
O	O	As
O	O	constitutional
O	O	DNA
O	O	was
O	O	not
O	O	available
O	O	,
O	O	a
O	O	putative
O	O	hereditary
O	O	predisposition
O	O	to
B	B	T
I	I	-
I	I	PLL
O	O	will
O	O	require
O	O	further
O	O	investigation
O	O	.
O	O	.
B	B	Myotonic
I	I	dystrophy
O	O	protein
O	O	kinase
O	O	is
O	O	involved
O	O	in
O	O	the
O	O	modulation
O	O	of
O	O	the
O	O	Ca2
O	O	+
O	O	homeostasis
O	O	in
B	O	skeletal
O	O	muscle
O	O	cells
O	O	.
B	B	Myotonic
I	I	dystrophy
O	O	(
B	B	DM
O	O	)
O	O	,
O	O	the
O	O	most
O	O	prevalent
B	B	muscular
I	I	disorder
O	O	in
O	O	adults
O	O	,
O	O	is
O	O	caused
O	O	by
O	O	(
O	O	CTG
O	O	)
O	O	n
O	O	-
O	O	repeat
O	O	expansion
O	O	in
O	O	a
O	O	gene
O	O	encoding
O	O	a
O	O	protein
O	O	kinase
O	O	(
B	B	DM
O	O	protein
O	O	kinase
O	O	;
O	O	DMPK
O	O	)
O	O	and
O	O	involves
O	O	changes
O	O	in
O	O	cytoarchitecture
O	O	and
O	O	ion
O	O	homeostasis
O	O	.
O	O	To
O	O	obtain
O	O	clues
O	O	to
O	O	the
O	O	normal
O	O	biological
O	O	role
O	O	of
O	O	DMPK
O	O	in
O	O	cellular
O	O	ion
O	O	homeostasis
O	O	,
O	O	we
O	O	have
O	O	compared
O	O	the
O	O	resting
O	O	[
O	O	Ca2
O	O	+
O	O	]
O	O	i
O	O	,
O	O	the
O	O	amplitude
O	O	and
O	O	shape
O	O	of
O	O	depolarization
O	O	-
O	O	induced
O	O	Ca2
O	O	+
O	O	transients
O	O	,
O	O	and
O	O	the
O	O	content
O	O	of
O	O	ATP
O	O	-
O	O	driven
O	O	ion
O	O	pumps
O	O	in
O	O	cultured
O	O	skeletal
O	O	muscle
O	O	cells
O	O	of
O	O	wild
O	O	-
O	O	type
O	O	and
O	O	DMPK
O	O	[
O	O	-
O	O	/
O	O	-
O	O	]
O	O	knockout
O	O	mice
O	O	.
O	O	In
O	O	vitro
O	O	-
O	O	differentiated
O	O	DMPK
O	O	[
O	O	-
O	O	/
O	O	-
O	O	]
O	O	myotubes
O	O	exhibit
O	O	a
O	O	higher
O	O	resting
O	O	[
O	O	Ca2
O	O	+
O	O	]
O	O	i
O	O	than
O	O	do
O	O	wild
O	O	-
O	O	type
O	O	myotubes
O	O	because
O	O	of
O	O	an
O	O	altered
O	O	open
O	O	probability
O	O	of
O	O	voltage
O	O	-
O	O	dependent
O	O	l
O	O	-
O	O	type
O	O	Ca2
O	O	+
O	O	and
O	O	Na
O	O	+
O	O	channels
O	O	.
O	O	The
O	O	mutant
O	O	myotubes
O	O	exhibit
O	O	smaller
O	O	and
O	O	slower
O	O	Ca2
O	O	+
O	O	responses
O	O	upon
O	O	triggering
O	O	by
O	O	acetylcholine
O	O	or
O	O	high
O	O	external
O	O	K
O	O	+
O	O	.
O	O	In
O	O	addition
O	O	,
O	O	we
O	O	observed
O	O	that
O	O	these
O	O	Ca2
O	O	+
O	O	transients
O	O	partially
O	O	result
O	O	from
O	O	an
O	O	influx
O	O	of
O	O	extracellular
O	O	Ca2
O	O	+
O	O	through
O	O	the
O	O	l
O	O	-
O	O	type
O	O	Ca2
O	O	+
O	O	channel
O	O	.
O	O	Neither
O	O	the
O	O	content
O	O	nor
O	O	the
O	O	activity
O	O	of
O	O	Na
O	O	+
O	O	/
O	O	K
O	O	+
O	O	ATPase
O	O	and
O	O	sarcoplasmic
O	O	reticulum
O	O	Ca2
O	O	+
O	O	-
O	O	ATPase
O	O	are
O	O	affected
O	O	by
B	O	DMPK
O	O	absence
O	O	.
O	O	In
O	O	conclusion
O	O	,
O	O	our
O	O	data
O	O	suggest
O	O	that
O	O	DMPK
O	O	is
O	O	involved
O	O	in
O	O	modulating
O	O	the
O	O	initial
O	O	events
O	O	of
O	O	excitation
O	O	-
O	O	contraction
O	O	coupling
O	O	in
O	O	skeletal
O	O	muscle
O	O	.
O	O	.
O	O	Constitutional
O	O	RB1
O	O	-
O	O	gene
O	O	mutations
O	O	in
O	O	patients
O	O	with
B	O	isolated
B	B	unilateral
I	I	retinoblastoma
O	O	.
O	O	In
O	O	most
O	O	patients
O	O	with
B	O	isolated
B	B	unilateral
I	I	retinoblastoma
O	O	,
O	B	tumor
O	O	development
O	O	is
O	O	initiated
O	O	by
O	O	somatic
O	O	inactivation
O	O	of
O	O	both
O	O	alleles
O	O	of
O	O	the
O	O	RB1
O	O	gene
O	O	.
O	O	However
O	O	,
O	O	some
O	O	of
O	O	these
O	O	patients
O	O	can
O	O	transmit
B	B	retinoblastoma
O	O	predisposition
O	O	to
O	O	their
O	O	offspring
O	O	.
O	O	To
O	O	determine
O	O	the
O	O	frequency
O	O	and
O	O	nature
O	O	of
O	O	constitutional
O	O	RB1
O	O	-
O	O	gene
O	O	mutations
O	O	in
O	O	patients
O	O	with
B	O	isolated
B	B	unilateral
I	I	retinoblastoma
O	O	,
O	O	we
O	O	analyzed
O	O	DNA
O	O	from
O	O	peripheral
O	O	blood
O	O	and
O	O	from
B	B	tumor
O	O	tissue
O	O	.
O	O	The
O	O	analysis
O	O	of
B	B	tumors
O	O	from
O	O	54
O	O	(
O	O	71
O	O	%
O	O	)
O	O	of
O	O	76
O	O	informative
O	O	patients
O	O	showed
O	O	loss
O	O	of
O	O	constitutional
O	O	heterozygosity
O	O	(
O	O	LOH
O	O	)
O	O	at
O	O	intragenic
O	O	loci
O	O	.
O	O	Three
O	O	of
O	O	13
O	O	uninformative
O	O	patients
O	O	had
O	O	constitutional
O	O	deletions
O	O	.
O	O	For
O	O	39
O	O	randomly
O	O	selected
O	B	tumors
O	O	,
O	O	SSCP
O	O	,
O	O	hetero
O	O	-
O	O	duplex
O	O	analysis
O	O	,
O	O	sequencing
O	O	,
O	O	and
O	O	Southern
O	O	blot
O	O	analysis
O	O	were
O	O	used
O	O	to
O	O	identify
O	O	mutations
O	O	.
O	O	Mutations
O	O	were
O	O	detected
O	O	in
O	O	21
O	O	(
O	O	91
O	O	%
O	O	)
O	O	of
O	O	23
O	B	tumors
O	O	with
B	O	LOH
O	O	.
O	O	In
O	O	6
O	O	(
O	O	38
O	O	%
O	O	)
O	O	of
O	O	16
B	B	tumors
O	O	without
O	O	LOH
O	O	,
O	O	one
O	O	mutation
O	O	was
O	O	detected
O	O	,
O	O	and
O	O	in
O	O	9
O	O	(
O	O	56
O	O	%
O	O	)
O	O	of
O	O	the
O	B	tumors
O	O	without
O	O	LOH
O	O	,
O	O	both
O	O	mutations
O	O	were
O	O	found
O	O	.
O	O	Thus
O	O	,
O	O	a
O	O	total
O	O	of
O	O	45
O	O	mutations
O	O	were
O	O	identified
O	O	in
B	B	tumors
O	O	of
O	O	36
O	O	patients
O	O	.
O	O	Thirty
O	O	-
O	O	nine
O	O	of
O	O	the
O	O	mutations
O	O	-
O	O	including
O	O	34
O	O	small
O	O	mutations
O	O	,
O	O	2
O	O	large
O	O	structural
O	O	alterations
O	O	,
O	O	and
O	O	hypermethylation
O	O	in
O	O	3
B	O	tumors
O	O	-
O	O	were
O	O	not
O	O	detected
O	O	in
O	O	the
O	O	corresponding
O	O	peripheral
O	O	blood
O	O	DNA
O	O	.
O	O	In
O	O	6
O	O	(
O	O	17
O	O	%
O	O	)
O	O	of
O	O	the
O	O	36
O	O	patients
O	O	,
O	O	a
O	O	mutation
O	O	was
O	O	detected
O	O	in
O	O	constitutional
O	O	DNA
O	O	,
O	O	and
O	O	1
O	O	of
O	O	these
O	O	mutations
O	O	is
O	O	known
O	O	to
O	O	be
O	O	associated
O	O	with
O	O	reduced
O	O	expressivity
O	O	.
O	O	The
O	O	presence
O	O	of
O	O	a
O	O	constitutional
O	O	mutation
O	O	was
O	O	not
O	O	associated
O	O	with
O	O	an
O	O	early
O	O	age
O	O	at
O	O	treatment
O	O	.
O	O	In
O	O	1
O	O	patient
O	O	,
O	O	somatic
O	O	mosaicism
O	O	was
O	O	demonstrated
O	O	by
O	O	molecular
O	O	analysis
O	O	of
O	O	DNA
O	O	and
O	O	RNA
O	O	from
O	O	peripheral
O	O	blood
O	O	.
O	O	In
O	O	2
O	O	patients
O	O	without
O	O	a
O	O	detectable
O	O	mutation
O	O	in
O	O	peripheral
O	O	blood
O	O	,
O	O	mosaicism
O	O	was
O	O	suggested
O	O	because
O	O	1
O	O	of
O	O	the
O	O	patients
O	O	showed
B	O	multifocal
I	B	tumors
O	O	and
O	O	the
O	O	other
O	O	later
O	O	developed
B	B	bilateral
I	I	retinoblastoma
O	O	.
O	O	In
O	O	conclusion
O	O	,
O	O	our
O	O	results
O	O	emphasize
O	O	that
O	O	the
O	O	manifestation
O	O	and
O	O	transmissibility
O	O	of
B	B	retinoblastoma
O	O	depend
O	O	on
O	O	the
O	O	nature
O	O	of
O	O	the
O	O	first
O	O	mutation
O	O	,
O	O	its
O	O	time
O	O	in
O	O	development
O	O	,
O	O	and
O	O	the
O	O	number
O	O	and
O	O	types
O	O	of
O	O	cells
O	O	that
O	O	are
O	O	affected
O	O	.
O	O	.
O	B	Hereditary
I	I	deficiency
I	I	of
I	I	the
I	I	fifth
I	I	component
I	I	of
I	I	complement
O	O	in
O	O	man
O	O	.
O	O	I
O	O	.
O	O	Clinical
O	O	,
O	O	immunochemical
O	O	,
O	O	and
O	O	family
O	O	studies
O	O	.
O	O	The
O	O	first
O	O	recognized
O	O	human
O	O	kindred
O	O	with
B	B	hereditary
I	I	deficiency
I	I	of
I	I	the
I	I	fifth
I	I	component
I	I	of
I	I	complement
O	O	(
B	O	C5
O	O	)
O	O	is
O	O	described
O	O	.
O	O	The
O	O	proband
O	O	,
O	O	a
O	O	20
O	O	-
O	O	year
O	O	-
O	O	old
O	O	black
O	O	female
O	O	with
B	B	systemic
I	I	lupus
I	I	erythematosus
O	O	since
O	O	age
O	O	11
O	O	,
O	O	lacked
O	O	serum
O	O	hemolytic
O	O	complement
O	O	activity
O	O	,
O	O	even
O	O	during
O	O	remission
O	O	.
O	O	C5
O	O	was
O	O	undetectable
O	O	in
O	O	her
O	O	serum
O	O	by
O	O	both
O	O	immunodiffusion
O	O	and
O	O	hemolytic
O	O	assays
O	O	.
O	O	Other
O	O	complement
O	O	components
O	O	were
O	O	normal
O	O	during
B	O	remission
I	O	of
B	O	lupus
O	O	,
O	O	but
O	O	C1
O	O	,
O	O	C4
O	O	,
O	O	C2
O	O	,
O	O	and
O	O	C3
O	O	levels
O	O	fell
O	O	during
O	O	exacerbations
O	O	.
O	O	A
O	O	younger
O	O	half
O	O	-
O	O	sister
O	O	,
O	O	who
O	O	had
O	O	no
O	O	underlying
O	O	disease
O	O	,
O	O	was
O	O	also
O	O	found
O	O	to
O	O	lack
O	O	immunochemically
O	O	detectable
O	O	C5
O	O	.
O	O	By
O	O	hemolytic
O	O	assay
O	O	,
O	O	she
O	O	exhibited
O	O	1
O	O	-
O	O	2
O	O	%
O	O	of
O	O	the
O	O	normal
O	O	serum
O	O	C5
O	O	level
O	O	and
O	O	normal
O	O	concentrations
O	O	of
O	O	other
O	O	complement
O	O	components
O	O	.
O	O	C5
O	O	levels
O	O	of
O	O	other
O	O	family
O	O	members
O	O	were
O	O	either
O	O	normal
O	O	or
O	O	approximately
O	O	half
O	O	-
O	O	normal
O	O	,
O	O	consistent
O	O	with
O	O	autosomal
O	O	codominant
O	O	inheritance
O	O	of
O	O	the
O	O	gene
O	O	determining
B	B	C5
I	I	deficiency
O	O	.
O	O	Normal
B	O	hemolytic
I	O	titers
O	O	were
O	O	restored
O	O	to
O	O	both
O	O	homozygous
B	B	C5
I	I	-
I	I	deficient
O	O	(
B	B	C5D
O	O	)
O	O	sera
O	O	by
O	O	addition
O	O	of
O	O	highly
O	O	purified
O	O	human
O	O	C5
O	O	.
O	O	In
O	O	specific
O	O	C5
O	O	titrations
O	O	,
O	O	however
O	O	,
O	O	it
O	O	was
O	O	noted
O	O	that
O	O	when
O	O	limited
O	O	amounts
O	O	of
O	O	C5
O	O	were
O	O	assayed
O	O	in
O	O	the
O	O	presence
O	O	of
O	O	low
O	O	dilutions
O	O	of
O	O	either
O	B	C5D
O	O	serum
O	O	,
O	O	curving
O	O	rather
O	O	than
O	O	linear
O	O	dose
O	O	-
O	O	response
O	O	plots
O	O	were
O	O	consistently
O	O	obtained
O	O	,
O	O	suggesting
O	O	some
O	O	inhibitory
O	O	effect
O	O	.
O	O	Further
O	O	studies
O	O	suggested
O	O	that
O	O	low
O	O	dilutions
O	O	of
B	B	C5D
O	O	serum
O	O	contain
O	O	a
O	O	factor
O	O	(
O	O	or
O	O	factors
O	O	)
O	O	interfering
O	O	at
O	O	some
O	O	step
O	O	in
O	O	the
O	O	hemolytic
O	O	assay
O	O	of
O	O	C5
O	O	,
O	O	rather
O	O	than
O	O	a
O	O	true
O	O	C5
O	O	inhibitor
O	O	or
O	O	inactivator
O	O	.
O	O	Of
O	O	clinical
O	O	interest
O	O	are
O	O	(
O	O	a
O	O	)
O	O	the
O	O	documentation
O	O	of
B	O	membranous
I	B	glomerulonephritis
O	O	,
B	B	vasculitis
O	O	,
O	O	and
B	B	arthritis
O	O	in
O	O	an
O	O	individual
O	O	lacking
O	O	C5
O	O	(
O	O	and
O	O	its
O	O	biologic
O	O	functions
O	O	)
O	O	,
O	O	and
O	O	(
O	O	b
O	O	)
O	O	a
O	O	remarkable
O	O	propensity
O	O	to
B	B	bacterial
O	I	infections
O	O	in
O	O	the
O	O	proband
O	O	,
O	O	even
O	O	during
O	O	periods
O	O	of
O	O	low
O	O	-
O	O	dose
O	O	or
O	O	alternate
O	O	-
O	O	day
O	O	corticosteroid
O	O	therapy
O	O	.
O	O	Other
O	O	observations
O	O	indicate
O	O	that
O	O	the
O	B	C5D
O	O	state
O	O	is
O	O	compatible
O	O	with
O	O	normal
O	O	coagulation
O	O	function
O	O	and
O	O	the
O	O	capacity
O	O	to
O	O	mount
O	O	a
B	O	neutrophilic
I	O	leukocytosis
O	O	during
B	B	pyogenic
O	I	infection
O	O	.
O	O	.
O	O	Susceptibility
O	O	to
B	B	ankylosing
I	I	spondylitis
O	O	in
O	O	twins
O	O	:
O	O	the
O	O	role
O	O	of
O	O	genes
O	O	,
O	O	HLA
O	O	,
O	O	and
O	O	the
O	O	environment
O	O	.
O	O	OBJECTIVE
O	O	To
O	O	determine
O	O	the
O	O	relative
O	O	effects
O	O	of
O	O	genetic
O	O	and
O	O	environmental
O	O	factors
O	O	in
O	O	susceptibility
O	O	to
B	B	ankylosing
I	I	spondylitis
O	O	(
B	B	AS
O	O	)
O	O	.
O	O	METHODS
O	O	Twins
O	O	with
B	B	AS
O	O	were
O	O	identified
O	O	from
O	O	the
O	O	Royal
B	O	National
O	O	Hospital
O	O	for
I	B	Rheumatic
I	I	Diseases
O	O	database
O	O	.
O	O	Clinical
O	O	and
O	O	radiographic
O	O	examinations
O	O	were
O	O	performed
O	O	to
O	O	establish
O	O	diagnoses
O	O	,
O	O	and
O	O	disease
O	O	severity
O	O	was
O	O	assessed
O	O	using
O	O	a
O	O	combination
O	O	of
O	O	validated
O	O	scoring
O	O	systems
O	O	.
O	O	HLA
O	O	typing
O	O	for
O	O	HLA
O	O	-
O	O	B27
O	O	,
O	O	HLA
O	O	-
O	O	B60
O	O	,
O	O	and
O	O	HLA
O	O	-
O	O	DR1
O	O	was
O	O	performed
O	O	by
O	O	polymerase
O	O	chain
O	O	reaction
O	O	with
O	O	sequence
O	O	-
O	O	specific
O	O	primers
O	O	,
O	O	and
O	O	zygosity
O	O	was
O	O	assessed
O	O	using
O	O	microsatellite
O	O	markers
O	O	.
O	O	Genetic
O	O	and
O	O	environmental
O	O	variance
O	O	components
O	O	were
O	O	assessed
O	O	with
O	O	the
O	O	program
B	O	Mx
O	O	,
O	O	using
O	O	data
O	O	from
O	O	this
O	O	and
O	O	previous
O	O	studies
O	O	of
O	O	twins
O	O	with
B	B	AS
O	O	.
O	O	RESULTS
O	O	Six
O	O	of
O	O	8
O	O	monozygotic
O	O	(
O	O	MZ
O	O	)
O	O	twin
O	O	pairs
O	O	were
O	O	disease
O	O	concordant
O	O	,
O	O	compared
O	O	with
O	O	4
O	O	of
O	O	15
O	O	B27
O	O	-
O	O	positive
O	O	dizygotic
O	O	(
O	O	DZ
O	O	)
O	O	twin
O	O	pairs
O	O	(
O	O	27
O	O	%
O	O	)
O	O	and
O	O	4
O	O	of
O	O	32
B	O	DZ
O	O	twin
O	O	pairs
O	O	overall
O	O	(
O	O	12
O	O	.
O	O	5
O	O	%
O	O	)
O	O	.
O	O	Nonsignificant
O	O	increases
O	O	in
O	O	similarity
O	O	with
O	O	regard
O	O	to
O	O	age
O	O	at
O	O	disease
O	O	onset
O	O	and
O	O	all
O	O	of
O	O	the
O	O	disease
O	O	severity
O	O	scores
O	O	assessed
O	O	were
O	O	noted
O	O	in
O	O	disease
O	O	-
O	O	concordant
B	O	MZ
O	O	twins
O	O	compared
O	O	with
O	O	concordant
B	O	DZ
O	O	twins
O	O	.
O	O	HLA
O	O	-
O	O	B27
O	O	and
O	O	B60
O	O	were
O	O	associated
O	O	with
O	O	the
O	O	disease
O	O	in
O	O	probands
O	O	,
O	O	and
O	O	the
O	O	rate
O	O	of
O	O	disease
O	O	concordance
O	O	was
O	O	significantly
O	O	increased
O	O	among
B	O	DZ
O	O	twin
O	O	pairs
O	O	in
O	O	which
O	O	the
O	O	co
O	O	-
O	O	twin
O	O	was
O	O	positive
O	O	for
O	O	both
O	O	B27
O	O	and
O	O	DR1
O	O	.
O	O	Additive
O	O	genetic
O	O	effects
O	O	were
O	O	estimated
O	O	to
O	O	contribute
O	O	97
O	O	%
O	O	of
O	O	the
O	O	population
O	O	variance
O	O	.
O	O	CONCLUSION
O	O	Susceptibility
O	O	to
B	B	AS
O	O	is
O	O	largely
O	O	genetically
O	O	determined
O	O	,
O	O	and
O	O	the
O	O	environmental
O	O	trigger
O	O	for
O	O	the
O	O	disease
O	O	is
O	O	probably
O	O	ubiquitous
O	O	.
O	O	HLA
O	O	-
O	O	B27
O	O	accounts
O	O	for
O	O	a
O	O	minority
O	O	of
O	O	the
O	O	overall
O	O	genetic
O	O	susceptibility
O	O	to
B	B	AS
O	O	.
O	O	Cell
O	O	cycle
O	O	-
O	O	dependent
O	O	colocalization
O	O	of
O	O	BARD1
O	O	and
O	O	BRCA1
O	O	proteins
O	O	in
O	O	discrete
O	O	nuclear
O	O	domains
O	O	.
O	O	Germ
O	O	-
O	O	line
O	O	mutations
O	O	of
O	O	the
O	O	BRCA1
O	O	gene
O	O	predispose
O	O	women
O	O	to
O	O	early
O	O	-
O	O	onset
B	B	breast
I	I	and
I	I	ovarian
I	I	cancer
O	O	by
O	O	compromising
O	O	the
O	O	genes
O	O	presumptive
O	O	function
O	O	as
O	O	a
B	B	tumor
O	O	suppressor
O	O	.
O	O	Although
O	O	the
O	O	biochemical
O	O	properties
O	O	of
O	O	BRCA1
O	O	polypeptides
O	O	are
O	O	not
O	O	understood
O	O	,
O	O	their
O	O	expression
O	O	pattern
O	O	and
O	O	subcellular
O	O	localization
O	O	suggest
O	O	a
O	O	role
O	O	in
O	O	cell
O	O	-
O	O	cycle
O	O	regulation
O	O	.
O	O	When
O	O	resting
O	O	cells
O	O	are
O	O	induced
O	O	to
O	O	proliferate
O	O	,
O	O	the
O	O	steady
O	O	-
O	O	state
O	O	levels
O	O	of
O	O	BRCA1
O	O	increase
O	O	in
O	O	late
O	O	G1
O	O	and
O	O	reach
O	O	a
O	O	maximum
O	O	during
O	O	S
O	O	phase
O	O	.
O	O	Moreover
O	O	,
O	O	in
O	O	S
O	O	phase
O	O	cells
O	O	,
O	O	BRCA1
O	O	polypeptides
O	O	are
O	O	hyperphosphorylated
O	O	and
O	O	accumulate
O	O	into
O	O	discrete
O	O	subnuclear
O	O	foci
O	O	termed
O	O	""""
O	O	BRCA1
O	O	nuclear
O	O	dots
O	O	.
O	O	""""
O	O	BRCA1
O	O	associates
O	O	in
O	O	vivo
O	O	with
O	O	a
O	O	structurally
O	O	related
O	O	protein
O	O	termed
O	O	BARD1
O	O	.
O	O	Here
O	O	we
O	O	show
O	O	that
O	O	the
O	O	steady
O	O	-
O	O	state
O	O	levels
O	O	of
O	O	BARD1
O	O	,
O	O	unlike
O	O	those
O	O	of
O	O	BRCA1
O	O	,
O	O	remain
O	O	relatively
O	O	constant
O	O	during
O	O	cell
O	O	cycle
O	O	progression
O	O	.
O	O	However
O	O	,
O	O	immunostaining
O	O	revealed
O	O	that
O	O	BARD1
O	O	resides
O	O	within
O	O	BRCA1
O	O	nuclear
O	O	dots
O	O	during
O	O	S
O	O	phase
O	O	of
O	O	the
O	O	cell
O	O	cycle
O	O	,
O	O	but
O	O	not
O	O	during
O	O	the
O	O	G1
O	O	phase
O	O	.
O	O	Nevertheless
O	O	,
O	O	BARD1
O	O	polypeptides
O	O	are
O	O	found
O	O	exclusively
O	O	in
O	O	the
O	O	nuclear
O	O	fractions
O	O	of
O	O	both
O	O	G1
O	O	-
O	O	and
O	O	S
O	O	-
O	O	phase
O	O	cells
O	O	.
O	O	Therefore
O	O	,
O	O	progression
O	O	to
O	O	S
O	O	phase
O	O	is
O	O	accompanied
O	O	by
O	O	the
O	O	aggregation
O	O	of
O	O	nuclear
O	O	BARD1
O	O	polypeptides
O	O	into
O	O	BRCA1
O	O	nuclear
O	O	dots
O	O	.
O	O	This
O	O	cell
O	O	cycle
O	O	-
O	O	dependent
O	O	colocalization
O	O	of
O	O	BARD1
O	O	and
O	O	BRCA1
O	O	indicates
O	O	a
O	O	role
O	O	for
O	O	BARD1
O	O	in
O	O	BRCA1
O	O	-
O	O	mediated
B	B	tumor
O	O	suppression
O	O	.
O	O	Ethnic
O	O	differences
O	O	in
O	O	the
O	O	HFE
O	O	codon
O	O	282
O	O	(
O	O	Cys
O	O	/
O	O	Tyr
O	O	)
O	O	polymorphism
O	O	.
O	O	Recent
O	O	studies
O	O	have
O	O	shown
O	O	that
B	B	hereditary
I	I	hemochromatosis
O	O	(
B	B	HH
O	O	)
O	O	is
O	O	likely
O	O	to
O	O	be
O	O	caused
O	O	by
O	O	homozygosity
O	O	for
O	O	a
O	O	Cys282Tyr
O	O	mutation
O	O	in
O	O	the
O	O	HFE
O	O	gene
O	O	located
O	O	4
O	O	.
O	O	5
O	O	Mb
O	O	telomeric
O	O	to
O	O	HLA
O	O	-
O	O	A
O	O	.
O	O	Population
O	O	studies
O	O	of
O	O	this
O	O	polymorphism
O	O	are
O	O	facilitated
O	O	by
O	O	the
O	O	fact
O	O	that
O	O	the
O	O	Cys282Tyr
O	O	mutation
O	O	creates
O	O	a
O	O	Rsal
O	O	restriction
O	O	site
O	O	.
O	O	We
O	O	have
O	O	studied
O	O	the
O	O	codon
O	O	282
O	O	(
O	O	Cys
O	O	/
O	O	Tyr
O	O	)
O	O	polymorphism
O	O	in
O	O	different
O	O	ethnic
O	O	groups
O	O	.
O	O	In
O	O	agreement
O	O	with
O	O	previous
O	O	observations
O	O	the
O	O	Tyr
O	O	allele
O	O	appeared
O	O	to
O	O	be
O	O	rare
O	O	or
O	O	absent
O	O	in
